rank,team,points,slug
1,Vitality,2077,Vitality
2,MOUZ,1877,MOUZ
3,Spirit,1852,Spirit
4,The MongolZ,1775,The_MongolZ
5,Team Falcons,1726,Team_Falcons
6,Aurora,1652,Aurora
7,FaZe,1638,FaZe
8,Natus Vincere,1617,Natus_Vincere
9,FURIA,1591,FURIA
10,G2,1566,G2
11,GamerLegion,1537,GamerLegion
12,HEROIC,1528,HEROIC
13,3DMAX,1519,3DMAX
14,Virtus.pro,1515,Virtus.pro
15,Astralis,1512,Astralis
16,paiN,1488,paiN
17,Liquid,1378,Liquid
18,Lynn Vision,1371,Lynn_Vision
19,B8,1370,B8
20,Tyloo,1358,Tyloo
21,Legacy,1354,Legacy
22,MIBR,1342,MIBR
23,Ninjas in Pyjamas,1314,Ninjas_in_Pyjamas
24,Complexity,1294,Complexity
25,Fnatic,1288,Fnatic
26,ECSTATIC,1261,ECSTATIC
27,NAVI Junior,1229,NAVI_Junior
28,Nemiga,1219,Nemiga
29,TNL,1201,TNL
30,FlyQuest,1200,FlyQuest
31,Rare Atom,1186,Rare_Atom
32,ENCE,1179,ENCE
33,BIG,1176,BIG
34,Passion UA,1176,Passion_UA
35,BetBoom,1150,BetBoom
36,NRG,1139,NRG
37,OG,1137,OG
38,Iberian Soul,1103,Iberian_Soul
39,Spirit Academy,1102,Spirit_Academy
40,Imperial,1072,Imperial
41,JiJieHao,1067,JiJieHao
42,Wildcard,1047,Wildcard
43,Parivision,1047,Parivision
44,Chinggis Warriors,1035,Chinggis_Warriors
45,9INE,1034,9INE
46,HOTU,1000,HOTU
47,M80,997,M80
48,The Huns,993,The_Huns
49,Betclic,993,Betclic
50,SAW,988,SAW
51,Nexus,987,Nexus
52,Astrum,986,Astrum
53,Alliance,983,Alliance
54,CYBERSHOKE,982,CYBERSHOKE
55,FURIA fe,977,FURIA_fe
56,Johnny Speeds,974,Johnny_Speeds
57,BC.Game,971,BC.Game
58,ODDIK,968,ODDIK
59,9 Pandas,967,9_Pandas
60,Getting Info,953,Getting_Info
61,Tricked,953,Tricked
62,Sashi Esport,952,Sashi_Esport
63,Partizan,947,Partizan
64,Zero Tenacity,946,Zero_Tenacity
65,BOSS,943,BOSS
66,GUN5,940,GUN5
67,Metizport,939,Metizport
68,Sharks,938,Sharks
69,Fluxo,931,Fluxo
70,500,916,500
71,BLUEJAYS,916,BLUEJAYS
