rank,team_id,team,,tier,hltv_id,slug
1,31232,vitality,,1,9565,vitality
2,23976,furia,,1,8297,furia
3,41713,falcons,,1,11283,falcons
4,7395,mouz,,1,4494,mouz
5,14371,faze,,1,6667,faze
6,12712,the-mongolz,,1.5,6248,the-mongolz
7,7397,NAVI,,1.5,4608,natus-vincere
8,17049,spirit,,1.5,7020,spirit
9,46364,aurora,,1.5,11861,aurora
10,10804,g2,,1.5,5995,g2
11,13976,astralis,,2,6665,astralis
12,41344,b8,,2,11241,b8
13,7399,3dmax,,2,4914,3dmax
14,18299,pain,,2,4773,pain
15,10561,liquid,,2,5973,liquid
16,50936,passion ua,,2,12426,passion-ua
17,50554,legacy,,2,12468,legacy
18,51139,parivision,,2,12467,parivision
19,18052,heroic,,2,7175,heroic
20,34811,saw,,2,10567,saw
21,30789,imperial,,2,9455,imperial
22,32784,gamerlegion,,2,9928,gamerlegion
23,7455,virtuspro,,2,5378,virtuspro
24,7384,ninjas in pajamas,,2,4411,ninjas-in-pyjamas
25,50187,m80,,3,12376,m80
26,,Gentle Mates,,3,13404,gentle-mates
27,56412,fut,,3,13286,FUT
28,25206,lynn vision,,3,8840,lynn-vision
29,7386,fnatic,,3,4991,fnatic
30,53296,flyquest,,3,12774,flyquest
31,8612,tyloo,,3,4863,tyloo
31,53727,tnl,,3,12833,tnl
32,50512,betboom,,3,12394,betboom
33,45462,eyeballers,,3,11737,eyeballers
34,14391,nrg,,3,6673,nrg
35,46300,fluxo,,3,11837,fluxo
36,44353,hotu,,3,11581,hotu
37,28921,ecstatic,,3,11419,ecstatic
38,50580,cybershoke,,3,12380,cybershoke
39,55488,inner circle,,3,13117,inner-circle
40,42156,monte,,3,11811,monte
41,7411,ence,,3,4869,ence
41,45682,oddik,,3,11768,oddik
42,,oramond,,3,13470,oramond
43,23347,sharks,,3,8113,sharks
44,54156,k27,,3,12895,k27
45,51068,alliance,,3,12474,alliance
46,49456,wildcard,,3,12257,wildcard
46,50910,betera,,3,12431,betera
47,34628,og,,3,10503,og
48,51379,the huns,,3,12510,the-huns
48,54091,bcgame,,3,12878,bcgame
49,,nuclear tigeRES,,3,13027,nuclear-tigeres
50,19832,big,,3,7532,big
51,,skinrave,,3,13414,skinrave
51,,acend,,3,13518,acend
52,43151,zero tenacity,,3,11523,zero-tenacity
52,,friendly campers,,3,13547,friendly-campers
53,55489,marsborne,,3,13124,marsborne
54,,venom,,3,13419,venom
54,38630,partizan,,3,11838,partizan
55,20931,rare atom,,3,11514,rare-atom
56,45515,sashi,,3,11712,sashi
57,21911,nemiga,,3,7969,nemiga
58,7428,esc,,3,4532,esc
59,34246,9ine,,3,10278,9ine
59,33074,9z,,3,9996,9z
60,34813,sinners,,3,10577,sinners
61,13098,reason,,3,4822,reason
61,,am,,3,,
62,29956,mibr,,3,9215,mibr
62,48503,bestia,,3,12144,bestia
63,,illwill,,3,13501,illwill
64,36561,vp prodigy,,4,10864,vpprodigy
64,27796,red canids,,4,7176,red-canids
65,37481,genone,,4,11609,genone
66,56567,tpudcatb tpu,,4,13297,tpudcatb-tpu
66,51074,gun5,,4,12471,gun5
67,19753,spirit academy,,4,7900,spirit-academy
68,29320,sangal,,4,10333,sangal
69,56044,sparta,,4,13214,sparta
70,14987,aimclub,,4,6810,aimclub
