rank,team,points,slug_x,hltv_id,slug,tier
1,Vitality,2077,Vitality,9565,vitality,1
2,MOUZ,1877,MOUZ,4494,mouz,1
3,Spirit,1852,Spirit,7020,spirit,1
4,The MongolZ,1775,The_MongolZ,6248,the-mongolz,1
5,Team Falcons,1726,Team_Falcons,11283,falcons,1
6,Aurora,1652,Aurora,11861,aurora,1.5
7,FaZe,1638,FaZe,6667,faze,1.5
8,Natus Vincere,1617,Natus_Vincere,4608,natus-vincere,1.5
9,FURIA,1591,FURIA,8297,furia,1.5
10,G2,1566,G2,5995,g2,2
11,GamerLegion,1537,GamerLegion,9928,gamerlegion,2
12,HEROIC,1528,HEROIC,7175,heroic,2
13,3DMAX,1519,3DMAX,4914,3dmax,2
14,Virtus.pro,1515,Virtus.pro,5378,virtuspro,2
15,Astralis,1512,Astralis,6665,astralis,2
16,paiN,1488,paiN,4773,pain,2
17,Liquid,1378,Liquid,5973,liquid,2
18,Lynn Vision,1371,Lynn_Vision,8840,lynn-vision,2
19,B8,1370,B8,11241,b8,3
20,Tyloo,1358,Tyloo,4863,tyloo,3
21,Legacy,1354,Legacy,12468,legacy,3
22,MIBR,1342,MIBR,9215,mibr,3
23,Ninjas in Pyjamas,1314,Ninjas_in_Pyjamas,4411,ninjas-in-pyjamas,3
24,Complexity,1294,Complexity,5005,complexity,3
25,Fnatic,1288,Fnatic,4991,fnatic,3
26,ECSTATIC,1261,ECSTATIC,11419,ecstatic,3
27,NAVI Junior,1229,NAVI_Junior,13332,ex-navi-junior,3
28,Nemiga,1219,Nemiga,7969,nemiga,3
29,TNL,1201,TNL,12833,tnl,3
30,FlyQuest,1200,FlyQuest,12774,flyquest,3
31,Rare Atom,1186,Rare_Atom,11514,rare-atom,3
32,ENCE,1179,ENCE,4869,ence,3
33,BIG,1176,BIG,7532,big,3
34,Passion UA,1176,Passion_UA,12426,passion-ua,3
35,BetBoom,1150,BetBoom,12394,betboom,3
36,NRG,1139,NRG,6673,nrg,3
37,OG,1137,OG,10503,og,3
38,Iberian Soul,1103,Iberian_Soul,13104,iberian-soul,4
39,Spirit Academy,1102,Spirit_Academy,7900,spirit-academy,4
40,Imperial,1072,Imperial,9455,imperial,4
41,JiJieHao,1067,JiJieHao,10245,jijiehao,4
42,Wildcard,1047,Wildcard,12257,wildcard,4
43,Parivision,1047,Parivision,12467,parivision,4
44,Chinggis Warriors,1035,Chinggis_Warriors,12646,chinggis-warriors,4
