team,opendota_id,rank,rating,slug,,tier
Spirit,14009,1,406,14009-team-spirit,,1
Tidebound,55333,2,331,55333-team-tidebound,,1
PARIVISION,54707,3,322,54707-parivision,,1
Tundra,37385,4,312,37385-tundra-esports,,1
BetBoom Team,44755,5,284,44755-betboom-team,,1
falcons,51572,6,280,51572-team-falcons,,1
Gaimin Gladiators,43979,7,232,43979-gaimin-gladiators,,1.5
Liquid,4517,8,219,4517-team-liquid,,1.5
Xtreme ,37153,9,217,37153-xtreme-gaming,,1.5
Aurora ,51604,10,203,51604-aurora-gaming,,1.5
Talon ,42946,11,176,42946-talon-esports,,1.5
Natus Vincere,2590,12,143,2590-natus-vincere,,1.5
Nigma Galaxy,34545,13,141,34545-nigma-galaxy,,1.5
Natus Vincere Junior,47741,14,139,47741-natus-vincere-junior,,1.5
1win,52570,15,109,52570-1win,,2
Heroic,52067,16,101,52067-heroic,,2
Shopify Rebellion,47744,17,100,47744-shopify-rebellion,,2
BOOM Esports,20809,18,80,20809-boom-esports,,2
Secret,8954,18,80,8954-team-secret,,2
Yakult Brothers,54698,19,77,54698-yakult-brothers,,2
L1GA TEAM,52075,20,57,52075-l1ga-team,,2
Execration,8461,21,56,8461-execration,,2
Yandex,56702,22,45,56702-team-yandex,,2
AVULUS,53982,23,39,53982-avulus,,2
Cyber Goose,56467,24,38,56467-cyber-goose,,2
MOUZ,2208,24,38,2208-mouz,,2
Team Nemesis,56003,25,32,56003-team-nemesis,,2
Wildcard,43234,26,31,43234-wildcard,,2
Ivory,54418,27,30,54418-ivory,,2
4Pirates,54897,28,24,54897-4pirates,,2
Team Den,56127,29,23,56127-team-den,,2
Runa Team,56192,30,21,56192-runa-team,,2
Team Compromiso,55606,31,17,55606-team-compromiso,,3
Tech Free Gaming,55925,31,17,55925-tech-free-gaming,,3
Zero Tenacity,54896,31,17,54896-zero-tenacity,,3
REKONIX,56913,32,15,56913-rekonix,,3
Yellow Submarine,9623,33,13,9623-yellow-submarine,,3
Virtus.pro,2472,34,12,2472-virtus-pro,,3
BBUILD,56636,35,9,56636-bbuild,,3
Estar Backs,51601,35,9,51601-estar-backs,,3
Yangon Galacticos,34018,36,7,34018-yangon-galacticos,,3
4 Anchors + Dota Sama,56476,37,6,56476-4-anchors-dota-sama,,3
Tearlaments,56083,37,6,56083-tearlaments,,3
BSJ and friends,56510,38,5,56510-bsj-and-friends,,3
