rank,team_id,team_slug,team_name,tier
1,14009,team-spirit,"1

Team Spirit

1,406",1
2,54707,parivision,"2

PARIVISION

1,322",1
3,37385,tundra-esports,"3

Tundra Esports

1,314",1
4,55333,team-tidebound,"4

Team Tidebound

1,310",1
5,44755,betboom-team,"5

BetBoom Team

1,293",1
6,51572,team-falcons,"6

Team Falcons

1,280",1
7,43979,gaimin-gladiators,"7

Gaimin Gladiators

1,252",2
8,4517,team-liquid,"8

Team Liquid

1,219",2
9,51604,aurora-gaming,"9

Aurora Gaming

1,203",2
10,37153,xtreme-gaming,"10

Xtreme Gaming

1,186",2
11,42946,talon-esports,"11

Talon Esports

1,176",2
12,34545,nigma-galaxy,"12

Nigma Galaxy

1,162",2
13,2590,natus-vincere,"13

Natus Vincere

1,143",2
14,47741,natus-vincere-junior,"14

Natus Vincere Junior

1,139",2
15,52570,1win,"15

1win

1,109",2
16,52067,heroic,"16

Heroic

1,101",2
17,47744,shopify-rebellion,"17

Shopify Rebellion

1,100",3
18,8954,team-secret,"18

Team Secret

1,080",3
19,20809,boom-esports,"18

BOOM Esports

1,080",3
20,54698,yakult-brothers,"19

Yakult Brothers

1,077",3
21,52075,l1ga-team,"20

L1GA TEAM

1,057",3
22,8461,execration,"21

Execration

1,056",3
23,56702,team-yandex,"22

Team Yandex

1,045",3
24,53982,avulus,"23

AVULUS

1,039",3
25,2208,mouz,"24

MOUZ

1,038",3
26,56467,cyber-goose,"24

Cyber Goose

1,038",3
27,56003,team-nemesis,"25

Team Nemesis

1,032",3
28,43234,wildcard,"26

Wildcard

1,031",3
29,54418,ivory,"27

Ivory

1,027",3
30,54897,4pirates,"28

4Pirates

1,024",3
31,56127,team-den,"29

Team Den

1,023",3
32,56192,runa-team,"30

Runa Team

1,021",3
33,54896,zero-tenacity,"31

Zero Tenacity

1,017",3
34,55606,team-compromiso,"31

Team Compromiso

1,017",3
35,55925,tech-free-gaming,"31

Tech Free Gaming

1,017",3
36,2472,virtus-pro,"32

Virtus.pro

1,012",3
37,51601,estar-backs,"33

Estar Backs

1,009",3
38,56636,bbuild,"33

BBUILD

1,009",3
39,56913,rekonix,"33

REKONIX

1,009",3
40,9623,yellow-submarine,"34

Yellow Submarine

1,007",3
41,34018,yangon-galacticos,"34

Yangon Galacticos

1,007",3
42,56083,tearlaments,"35

Tearlaments

1,006",4
43,56476,4-anchors-dota-sama,"35

4 Anchors + Dota Sama

1,006",4
44,56470,team-sin-compromiso,"36

Team Sin Compromiso

1,005",4
45,56510,bsj-and-friends,"36

BSJ and friends

1,005",4
46,56623,diffmakers,"37

diffmakers

1,004",4
47,13171,og,"38

OG

1,003",4
48,55604,apple-city-gang,"38

Apple City Gang

1,003",4
49,55922,bikini-bottom,"38

Bikini Bottom

1,003",4
50,55923,end-game,"38

End Game

1,003",4
51,56438,apex-revenance,"38

Apex Revenance

1,003",4
52,56439,nouns-gg,"38

Nouns GG

1,003",4
53,56541,veritas-friends,"38

Veritas Friends

1,003",4
54,36637,hokori,"39

Hokori

1,002",4
55,49617,azure-ray,"39

Azure Ray

1,002",4
