rank,team_id,team_slug,team_name,tier
1,31232,team-vitality,"1

Team Vitality

1,770",1
2,17049,team-spirit,"2

Team Spirit

1,575",1
3,7395,mouz,"3

MOUZ

1,522",1
4,7397,natus-vincere,"4

Natus Vincere

1,460",1
5,12712,the-mongolz,"5

The MongolZ

1,423",1
6,41713,team-falcons,"6

Team Falcons

1,371",1
7,41526,eternal-fire,"7

Eternal Fire

1,369",5
8,14371,faze-clan,"8

FaZe Clan

1,330",1.5
9,10804,g2-esports,"9

G2 Esports

1,328",1.5
10,23976,furia-esports,"10

FURIA Esports

1,319",1.5
11,13976,astralis,"11

Astralis

1,286",1.5
12,32784,gamerlegion,"12

GamerLegion

1,267",1.5
13,7399,3dmax,"13

3DMAX

1,243",1.5
14,18052,heroic,"14

Heroic

1,240",1.5
15,7455,virtus-pro,"15

Virtus.pro

1,227",1.5
16,46364,aurora-gaming,"16

Aurora Gaming

1,220",1.5
17,7384,ninjas-in-pyjamas,"17

Ninjas in Pyjamas

1,219",2
18,10561,team-liquid,"18

Team Liquid

1,216",2
19,50554,legacy,"19

Legacy

1,215",2
20,34811,saw,"20

SAW

1,211",2
21,41344,b8,"21

B8

1,198",2
22,18299,pain-gaming,"22

paiN Gaming

1,196",2
23,8612,tyloo,"23

TyLoo

1,195",2
24,50512,betboom-team,"24

BetBoom Team

1,186",2
25,8604,complexity,"25

Complexity

1,181",2
26,34199,natus-vincere-junior,"26

Natus Vincere Junior

1,180",2
27,7411,ence,"27

ENCE

1,175",2
28,25206,lynn-vision-gaming,"28

Lynn Vision Gaming

1,171",2
29,46300,fluxo,"29

Fluxo

1,163",2
30,28921,ecstatic,"30

ECSTATIC

1,161",2
31,29956,mibr,"30

MIBR

1,161",2
32,20931,rare-atom,"31

Rare Atom

1,157",2
33,19753,team-spirit-academy,"32

Team Spirit Academy

1,154",2
34,30789,imperial-esports,"33

Imperial Esports

1,153",2
35,50187,m80,"33

M80

1,153",2
36,7386,fnatic,"34

Fnatic

1,151",2
37,51139,parivision,"35

PARIVISION

1,136",3
38,34628,og,"36

OG

1,134",3
39,48503,bestia,"37

BESTIA

1,127",3
40,21911,nemiga-gaming,"38

Nemiga Gaming

1,125",3
41,53727,team-next-level,"39

TEAM NEXT LEVEL

1,124",3
42,23347,sharks-esports,"40

Sharks Esports

1,123",3
43,19832,big,"41

BIG

1,122",3
44,50936,passion-ua,"42

Passion UA

1,118",3
45,14391,nrg,"43

NRG

1,115",3
46,53296,flyquest,"43

FlyQuest

1,115",3
47,45682,oddik,"44

ODDIK

1,113",3
48,49456,wildcard,"44

Wildcard

1,113",3
49,27796,red-canids,"45

Red Canids

1,107",3
50,47288,500,"46

500

1,098",3
51,52136,johnny-speeds,"47

Johnny Speeds

1,089",3
52,42156,monte,"48

Monte

1,088",3
53,46407,9pandas,"49

9Pandas

1,084",3
54,33074,9z-team,"50

9z Team

1,081",3
55,51074,gun5-esports,"50

GUN5 Esports

1,081",3
56,55402,iberian-soul,"50

Iberian Soul

1,081",3
57,40525,dynamo-eclot,"51

Dynamo Eclot

1,072",3
58,54091,bc-game-esports,"51

BC.Game Esports

1,072",3
59,36342,furia-esports-female,"52

FURIA Esports Female

1,070",5
60,52220,amkal-esports,"53

Amkal Esports

1,069",3
61,55433,getting-info,"53

Getting Info

1,069",3
62,7428,esc-gaming,"54

ESC Gaming

1,068",3
63,51462,rush-b,"54

RUSH B

1,068",3
64,43151,zero-tenacity,"55

Zero Tenacity

1,066",3
65,54225,betclic-apogee-esports,"55

Betclic Apogee Esports

1,066",3
