timestamp,game,match_id,contract_scope,series_format,maps_a_won,maps_b_won,team_a,team_b,rounds_a,rounds_b,buy_state_a,buy_state_b,econ_missing,econ_fragile,pistol_a,pistol_b,gap_delta,streak_winner,streak_len,reversal,n_tracked,p0_map,p_fair_map,kappa_map,p_fair,band_level,band_lo,band_hi,bid,ask,mid,spread_abs,spread_rel,notes
2026-01-29T05:16:20,CS2,1,Map winner (this map),BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",3,5,Full (fragile),Full,False,True,False,True,0,B,2,False,3,0.3999999999999998,0.22175553632169154,52.929831050601045,0.22175553632169154,0.8,0.15148549503575393,0.2966474200320462,0.32,0.34,0.33,0.020000000000000018,0.060606060606060656,
2026-01-29T05:19:12,CS2,1,Map winner (this map),BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",3,6,Full (fragile),Full,False,True,False,True,0,B,3,False,4,0.3999999999999998,0.18611336528119773,69.40741967371085,0.18611336528119773,0.8,0.12869504434538054,0.24748230311003705,0.25,0.31,0.28,0.06,0.21428571428571425,
2026-01-29T05:20:12,CS2,1,Map winner (this map),BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",3,6,Full (fragile),Full,False,True,False,True,0,B,3,False,4,0.3999999999999998,0.18611336528119773,83.28890360845301,0.18611336528119773,0.8,0.13346264955099257,0.24204557099910104,0.25,0.31,0.28,0.06,0.21428571428571425,
2026-01-29T05:20:22,CS2,1,Map winner (this map),BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",3,6,Full (fragile),Full,False,True,False,True,0,B,3,False,4,0.3999999999999998,0.18611336528119773,58.99630672265422,0.18611336528119773,0.8,0.12411549893232571,0.252774972319174,0.25,0.31,0.28,0.06,0.21428571428571425,
2026-01-29T05:20:49,CS2,1,Map winner (this map),BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",4,6,Full (fragile),Full,False,True,False,True,0,A,1,False,5,0.3999999999999998,0.22175553632169154,46.42408357569876,0.22175553632169154,0.8,0.14699019752506418,0.3018094397030467,0.27,0.31,0.29000000000000004,0.03999999999999998,0.13793103448275854,
2026-01-29T05:21:17,CS2,1,Map winner (this map),BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",4,6,Full,Full,False,False,False,True,0,A,1,False,5,0.3999999999999998,0.23228293075180986,52.75464042693041,0.23228293075180986,0.8,0.16057476120054115,0.30845362608303245,0.25,0.29,0.27,0.03999999999999998,0.14814814814814806,
2026-01-29T05:23:02,CS2,1,Map winner (this map),BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",4,7,Light,Full,False,False,False,True,0,B,1,False,6,0.3999999999999998,0.16445254339161852,57.75267037744795,0.16445254339161852,0.8,0.10519532084698,0.22880366419394518,0.28,0.29,0.28500000000000003,0.009999999999999953,0.035087719298245446,
2026-01-29T05:34:56,CS2,2,Series winner,BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",4,10,Full,Full,False,False,False,True,0,A,2,False,8,0.4329310771477317,0.15094480364278812,81.75945089200204,0.2615437473500644,0.8,0.2377656179379321,0.28714704786805834,0.19,0.21,0.2,0.01999999999999999,0.09999999999999995,
2026-01-29T05:35:02,CS2,2,Series winner,BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",4,10,Full,Full,False,False,False,True,0,A,2,False,8,0.4329310771477317,0.15094480364278812,81.75945089200204,0.2615437473500644,0.8,0.2377656179379321,0.28714704786805834,0.18,0.21,0.195,0.03,0.15384615384615383,
2026-01-29T05:35:17,CS2,2,Series winner,BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",4,11,Full,Full,False,False,False,True,0,B,1,False,9,0.4329310771477317,0.1173583805379063,95.57767408301761,0.24505269540907115,0.8,0.22540865190881298,0.26640345044409486,0.18,0.21,0.195,0.03,0.15384615384615383,
2026-01-29T05:35:38,CS2,2,Series winner,BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",4,12,Full (fragile),Full,False,True,False,True,0,B,2,False,10,0.4329310771477317,0.07036689072537038,98.30685799066588,0.2219797085398458,0.8,0.20698217629131768,0.23883691983530683,0.18,0.21,0.195,0.03,0.15384615384615383,
2026-01-29T05:37:32,CS2,2,Series winner,BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",5,12,Full (fragile),Full,False,True,False,True,0,A,1,False,11,0.4329310771477317,0.0867478507604407,97.59317298521925,0.2300228175645283,0.8,0.21326224997047086,0.24858668348123655,0.18,0.22,0.2,0.04000000000000001,0.20000000000000004,
2026-01-29T05:38:50,CS2,2,Series winner,BO3,0,0,"Team Falcons

1,496","Team Falcons

1,496",5,12,Full,Full (fragile),False,True,False,True,0,A,1,False,11,0.4329310771477317,0.09673799881540997,97.59317298521925,0.23492801541659622,0.8,0.2172250492329185,0.25439122876597997,0.18,0.22,0.2,0.04000000000000001,0.20000000000000004,
2026-01-29T05:43:58,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",0,0,Eco,Eco,False,False,False,False,0,,0,False,0,0.4329310771477317,0.38835761083082426,25.56154519639705,0.16813207877550834,0.8,0.11591935784494622,0.22205615788360838,0.19,0.23,0.21000000000000002,0.04000000000000001,0.1904761904761905,
2026-01-29T05:58:18,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",0,1,Eco,Full (fragile),False,True,False,True,0,B,1,False,1,0.4329310771477317,0.23840802943006953,53.285108506120935,0.10321424498182813,0.8,0.07199778020385092,0.13629928661705967,0.14,0.21,0.175,0.06999999999999998,0.3999999999999999,
2026-01-29T06:06:25,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",3,3,Full,Full,False,False,False,True,0,A,3,False,6,0.4329310771477317,0.4249942597615153,41.942910414516284,0.1839932226601557,0.8,0.1421664146167807,0.2265060299116506,0.24,0.28,0.26,0.040000000000000036,0.15384615384615397,
2026-01-29T06:11:05,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",5,3,Full,Full,False,False,False,True,0,A,5,False,8,0.4329310771477317,0.5482190376275345,69.30660681147774,0.2373410584729814,0.8,0.20412291011407546,0.27029584149931685,0.35,0.37,0.36,0.020000000000000018,0.05555555555555561,
2026-01-29T06:15:24,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",7,3,Full,Full,False,False,False,True,0,A,7,False,10,0.4329310771477317,0.6757611099966702,88.30012796063602,0.2925579852454052,0.8,0.2646223706767266,0.3197435369758422,0.41,0.44,0.425,0.030000000000000027,0.07058823529411772,
2026-01-29T06:17:18,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",8,3,Full,Full,False,False,False,True,0,A,8,False,11,0.4329310771477317,0.7356503615488265,95.1858202488159,0.3184859034294517,0.8,0.2930296833084568,0.343010439238695,0.41,0.47,0.43999999999999995,0.06,0.13636363636363638,
2026-01-29T06:20:36,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",9,3,Eco,Eco,False,False,False,True,0,A,9,False,12,0.4329310771477317,0.7077366043759704,104.26691718971864,0.30640117046936693,0.8,0.28138286588067635,0.33067059526495923,0.41,0.46,0.435,0.050000000000000044,0.1149425287356323,
2026-01-29T06:24:48,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",9,4,Light,Full,False,False,False,True,0,B,1,False,13,0.4329310771477317,0.6238707257464103,53.702654033541414,0.27009302529833057,0.8,0.2331171983874813,0.3061905831425282,0.39,0.42,0.405,0.02999999999999997,0.074074074074074,
2026-01-29T06:25:00,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",9,4,Light,Full,False,False,False,True,0,B,1,False,13,0.4329310771477317,0.6238707257464103,53.702654033541414,0.27009302529833057,0.9,0.22227763376633777,0.3156157284563977,0.39,0.42,0.405,0.02999999999999997,0.074074074074074,
2026-01-29T06:27:08,CS2,2,Series winner,BO3,0,1,"Team Falcons

1,496","Team Falcons

1,496",10,4,Full,Light,False,False,False,True,0,A,1,False,14,0.4329310771477317,0.7638839893103142,62.521933035060385,0.3307091183080207,0.9,0.2907423578036805,0.36649121029698056,0.41,0.42,0.415,0.010000000000000009,0.024096385542168697,
