match_id,game,team_a,team_b,winner,timestamp
1,VALORANT,edward gaming,tyloo,edward gaming,2026-02-06T05:52:27
2,CS2,furia,aurora,furia,2026-02-06T08:34:05
3,CS2,mouz,g2,mouz,2026-02-06T12:30:11
4,VALORANT,EG,Envy,EG,2026-02-06T16:04:39
5,CS2,Furia,spirit,Furia,2026-02-07T10:15:51
6,CS2,Mouz,Vitality,Vitality,2026-02-07T13:00:00
7,VALORANT,Team A,Team B,Team A,2026-02-07T18:45:21
8,VALORANT,DRX,Full Sense,DRX,2026-02-08T01:48:33
9,VALORANT,GE,Paper Rex,Paper Rex,2026-02-08T04:55:58
10,CS2,mouz,spirit,spirit,2026-02-08T09:57:33
11,CS2,furia,vitality,vitality,2026-02-08T12:15:33
12,CS2,passion ua,sports bet experts,passion ua,2026-02-10T18:35:29
15,CS2,BB,sinners,BB,2026-02-11T11:12:35
16,CS2,voca,sports bet experts,voca,2026-02-11T12:33:43
17,CS2,fnatic,sinners,sinners,2026-02-12T09:48:17
18,CS2,wildcard,passion UA,passion UA,2026-02-12T18:47:33
19,VALORANT,DFM,T1,T1,2026-02-13T00:50:08
21,CS2,fut,aurora,fut,2026-02-14T03:31:44
24,CS2,pain,mongolz,mongolz,2026-02-14T11:24:17
23,CS2,aurora,navi,navi,2026-02-16T03:26:45
24,CS2,mongolz,b8,mongolz,2026-02-16T06:45:34
25,CS2,furia,falcons,falcons,2026-02-16T12:23:07
26,CS2,fut,mouz,mouz,2026-02-17T04:12:53
27,CS2,navi,mongolz,mongolz,2026-02-17T08:16:35
28,CS2,parivision,furia,furia,2026-02-17T11:20:11
29,CS2,falcons,parivision,parivision,2026-02-20T03:17:47
30,CS2,mouz,navi,mouz,2026-02-20T06:59:29
