Gosu Team,Matched HLTV Team,Similarity,Second Best,Second Score,hltv_id,slug
team-vitality,Vitality,1.0,,,9565.0,vitality
team-spirit,Spirit,1.0,,,7020.0,spirit
mouz,MOUZ,1.0,,,4494.0,mouz
natus-vincere,Natus Vincere,1.0,,,4608.0,natus-vincere
the-mongolz,The MongolZ,1.0,,,6248.0,the-mongolz
team-falcons,Team Falcons,1.0,,,11283.0,falcons
eternal-fire,eternal fire,1.0,,,11251.0,eternal-fire
g2-esports,G2,1.0,,,5995.0,g2
furia-esports,FURIA,1.0,furiafe,0.833,8297.0,furia
astralis,Astralis,1.0,astralistalent,0.727,6665.0,astralis
gamerlegion,GamerLegion,1.0,,,9928.0,gamerlegion
3dmax,3DMAX,1.0,,,4914.0,3dmax
heroic,HEROIC,1.0,,,7175.0,heroic
virtus-pro,Virtus.pro,1.0,,,5378.0,virtuspro
aurora-gaming,Aurora,1.0,,,11861.0,aurora
ninjas-in-pyjamas,Ninjas in Pyjamas,1.0,,,4411.0,ninjas-in-pyjamas
team-liquid,Liquid,1.0,,,5973.0,liquid
legacy,Legacy,1.0,,,12468.0,legacy
saw,SAW,1.0,,,10567.0,saw
b8,B8,1.0,,,11241.0,b8
pain-gaming,paiN,1.0,,,4773.0,pain
tyloo,Tyloo,1.0,,,4863.0,tyloo
betboom-team,BetBoom,1.0,,,12394.0,betboom
complexity,Complexity,1.0,perplexity,0.7,5005.0,complexity
ence,ENCE,1.0,zerance,0.727,4869.0,ence
lynn-vision-gaming,Lynn Vision,1.0,,,8840.0,lynn-vision
fluxo,Fluxo,1.0,,,11837.0,fluxo
ecstatic,ECSTATIC,1.0,,,11419.0,ecstatic
mibr,MIBR,1.0,mibrfe,0.8,9215.0,mibr
rare-atom,Rare Atom,1.0,,,11514.0,rare-atom
team-spirit-academy,Spirit Academy,1.0,painacademy,0.75,7900.0,spirit-academy
imperial-esports,Imperial,1.0,,,9455.0,imperial
m80,M80,1.0,,,12376.0,m80
fnatic,Fnatic,1.0,,,4991.0,fnatic
parivision,Parivision,1.0,,,12467.0,parivision
og,OG,1.0,,,10503.0,og
bestia,BESTIA,1.0,hesta,0.727,12144.0,bestia
nemiga-gaming,Nemiga,1.0,,,7969.0,nemiga
sharks-esports,Sharks,1.0,,,8113.0,sharks
big,BIG,1.0,,,7532.0,big
passion-ua,Passion UA,1.0,,,12426.0,passion-ua
nrg,NRG,1.0,,,6673.0,nrg
flyquest,FlyQuest,1.0,flyquestred,0.842,12774.0,flyquest
oddik,ODDIK,1.0,,,11768.0,oddik
wildcard,Wildcard,1.0,,,12257.0,wildcard
red-canids,RED Canids,1.0,redcanids,1.0,7176.0,red-canids
500,500,1.0,,,12000.0,500
johnny-speeds,Johnny Speeds,1.0,,,12604.0,johnny-speeds
monte,Monte,1.0,monte,1.0,11811.0,monte
9pandas,9 Pandas,1.0,,,11883.0,9-pandas
9z-team,9z,1.0,,,9996.0,9z
gun5-esports,GUN5,1.0,,,12471.0,gun5
iberian-soul,Iberian Soul,1.0,,,13104.0,iberian-soul
bc-game-esports,BC.Game,1.0,2game,0.727,12878.0,bcgame
furia-esports-female,FURIA fe,0.778,,,10976.0,furia-fe
amkal-esports,AMKAL,1.0,,,12586.0,amkal
getting-info,Getting Info,1.0,,,13106.0,getting-info
esc-gaming,ESC,1.0,esc,1.0,,
zero-tenacity,Zero Tenacity,1.0,,,11523.0,zero-tenacity
betclic-apogee-esports,Betclic,0.7,,,12916.0,betclic
sinners-esports,Sinners,1.0,,,10577.0,sinners
cybershoke-esports,CYBERSHOKE,1.0,,,12380.0,cybershoke
insilio,Insilio,1.0,,,,
metizport,Metizport,1.0,,,11641.0,metizport
the-huns-esports,The Huns,1.0,,,12510.0,the-huns
1win,1win,1.0,,,10621.0,1win
kubix-esports,Kubix,1.0,,,,
nexus-gaming,Nexus,1.0,,,7187.0,nexus
9ine,9INE,1.0,,,10278.0,9ine
chinggis-warriors,Chinggis Warriors,1.0,,,12646.0,chinggis-warriors
aurora-young-blud,aurora young blud,1.0,,,12366.0,aurora-young-blud
k27,K27,1.0,,,12895.0,k27
sashi-esport,Sashi Esport,1.0,,,11712.0,sashi
nouns-esports,Nouns,1.0,,,11948.0,nouns
forze-reload,FORZE Reload,1.0,,,12857.0,forze-reload
rooster,Rooster,1.0,rolercoaster,0.737,9881.0,rooster
astrum,Astrum,1.0,,,13235.0,astrum
kono-ecf,kONO,0.727,,,12858.0,kono
semperfi-esports,SemperFi,1.0,,,12901.0,semperfi
betera-esports,Betera,1.0,,,12431.0,betera
favbet-team,FAVBET,1.0,,,12818.0,favbet
partizan-esports,Partizan,1.0,sparta,0.714,11838.0,partizan
hotu,HOTU,1.0,,,11581.0,hotu
marsborne,Marsborne,1.0,,,13124.0,marsborne
bluejays,BLUEJAYS,1.0,,,5347.0,bluejays
alliance,Alliance,1.0,,,12474.0,alliance
ruby,RUBY,1.0,,,12694.0,ruby
leo-team,Leo,1.0,leon,0.857,,
party-astronauts,Party Astronauts,1.0,partyastronauts,1.0,8038.0,party-astronauts
genone,genone,1.0,,,11609.0,genone
fish123,fish132,0.857,,,6298.0,fish123
arcred,ARCRED,1.0,,,10459.0,arcred
rebels-gaming,Rebels,1.0,,,12642.0,rebels
rustec,rustec,1.0,,,12834.0,rustec
tricked-esport,Tricked,0.7,,,4602.0,tricked
wild-lotus,WildLotus,1.0,,,,
g2-ares,G2 Ares,1.0,,,12889.0,g2-ares
boss,BOSS,1.0,,,12534.0,boss
elevate,Elevate,1.0,,,,
jijiehao,JiJieHao,1.0,,,10245.0,jijiehao
ihc-esports,IHC,1.0,,,,
flamengo-esports,Flamengo,1.0,,,12065.0,flamengo
big-equipa,BIG EQUIPA,1.0,,,,
mousquetaires,Mousquetaires,1.0,,,,
supernova-comets,Supernova Comets,1.0,,,13146.0,supernova-comets
basement-boys,BASEMENT BOYS,1.0,,,13181.0,basement-boys
sparta,SPARTA,1.0,partizan,0.714,13214.0,sparta
eruption,Eruption,1.0,,,12097.0,eruption
tpudcatb-tpu,TPuDCATb TPu,1.0,,,13297.0,tpudcatb-tpu
vp-prodigy,vp.prodigy,1.0,,,10864.0,vpprodigy
fire-flux-esports,Fire Flux,1.0,,,12960.0,fire-flux
hesta,Hesta,1.0,bestia,0.727,,
anything-else,anything else,1.0,,,,
lfo-4,LFO 4,1.0,lfo3,0.75,,
ex-astralis-talent,Astralis Talent,0.933,,,,
entity,UNiTY,0.727,,,,
m1x,M1,0.8,,,7376.0,m1x
mibr-female,MIBR fe,0.75,,,,
mibr-academy,MIBR Academy,1.0,spiritacademy,0.75,,
permitta-esports,ex-Permitta,0.889,,,,
flyquest-red,FlyQuest RED,1.0,flyquest,0.842,12301.0,flyquest-red
rosy,ROSY,1.0,,,,
scarx,ScarX,1.0,,,,
phantom-sense,phantom,0.737,,,13173.0,phantom
rhyno-esports,Rhyno,1.0,,,10947.0,rhyno
benched,benched,1.0,ence,0.727,,
mana-esports,mana,1.0,mantra,0.8,13310.0,mana
perplexity,PERPLEXITY,1.0,complexity,0.7,,
o-plano,O PLANO,1.0,,,,
eyeballers,Eyeballers,1.0,,,,
lumen,Lumen fe,0.833,,,,
black-mold,Black Mold,1.0,,,,
daaku,Daaku,1.0,,,,
ex-leon-esports,LEON,0.8,extalon,0.769,,
wings-up-gaming,Wings Up,1.0,,,10851.0,wings-up
pain-gaming-academy,paiN Academy,1.0,xpacademy,0.8,,
2game-esports,2GAME,1.0,bcgame,0.727,12491.0,2game
roler-coaster,Roler Coaster,1.0,rolercoaster,1.0,,
lfo,LFO 4,0.857,lfo3,0.857,,
nomoney,moneyF,0.769,,,,
legion,LEON,0.8,gamerlegion,0.706,,
bounty-hunters,Bounty Hunters,1.0,bountyhuntersfe,0.929,12776.0,bounty-hunters
adalyamigos,adalYamigos,1.0,,,,
dms,DMS,1.0,,,,
shika,Shika,1.0,,,,
nothing-to-lose,anything else,0.72,,,,
dakury,Daaku,0.727,,,,
exabyte,ex-SABRE,0.714,,,13298.0,ex-sabre
team-plane,O PLANO,0.727,,,,
a-m-r-a-k,América,0.727,,,,
x-warriors,Eco Warriors,0.8,,,,
mariquitas,Marius,0.75,,,13291.0,marius
elevate-female,Elevate,0.7,,,,
aether,Aether,1.0,aether,1.0,,
aye-aye-hunters,GameHunters,0.75,gamehunters,0.75,12988.0,gamehunters
blackdiamond,Black Mold,0.762,,,,
aether-esports,Aether,1.0,aether,1.0,,
atrax,MANTRA,0.727,,,,
enight,MIGHT,0.727,,,,
r-vange,Vantage,0.769,,,,
the-ghosts,Ghost,0.714,,,,
the-illuminators,Illuminar,0.75,,,,
ballerpups,Eyeballers,0.7,,,,
aeon-esports,LEON,0.75,gateron,0.727,,
proud-slayers,Players,0.737,,,11711.0,players
volant,volt,0.8,,,13090.0,volt
bandits-ro,NITRO,0.714,,,,
spotermin,POWERmix,0.706,,,,
in-the-game,Change The Game,0.727,,,,
glorygames,Galorys,0.706,,,,
mystic-gg,Mythic,0.833,,,,
uniquity,UNiTY,0.769,,,,
monkey-esports,moneyF,0.833,monte,0.727,,
blackout,Black Mold,0.706,,,,
plant,O PLANO,0.727,,,,
twentyseven,twenty seven,1.0,,,13236.0,twenty seven
illumin8,Illuminar,0.824,,,,
innate-warriors,Eco Warriors,0.72,,,,
fury,SkyFury,0.727,,,,
team-neon,LEON,0.75,,,,
celeste,Elevate,0.714,,,,
entity-esports,UNiTY,0.727,,,,
sy-wolves,CPH Wolves,0.706,cphwolves,0.706,4548.0,cph-wolves
lempo-esports,Leo,0.75,,,,
unity-csgo,UNiTY,0.714,,,,
glitch-gaming,glitchtech,0.75,,,13285.0,glitchtech
etalon,ex-TALON,0.923,,,13212.0,ex-talon
impact-esports-team,NIP Impact,0.8,,,11917.0,nip-impact
leavethegame,Change The Game,0.72,,,,
ninjaguys,NinJa,0.714,,,,
space-academy,paiN Academy,0.783,enceacademy,0.783,,
nordic-gaming,Nordix,0.833,,,,
clymene,Lumen fe,0.714,,,,
team-innova,NOVAQ,0.727,,,,
hava,HAVU,0.75,,,,
team-alternate,alter ego,0.706,,,9958.0,alter-ego
evokate,Elevate,0.714,,,,
team-mistral,QMISTRY,0.714,,,,
tzunami,Tsunami,0.857,,,,
ministry,QMISTRY,0.8,,,,
alos,Galorys,0.727,falcons,0.727,,
mercenarios,Mercenaires,0.818,,,,
underfrog,Underground,0.7,,,,
lo3,LFO 3,0.857,,,,
glory,Galorys,0.833,,,,
team-nomad,NomadS,0.909,nomads,0.909,12900.0,nomads
team-atrox,ATOX,0.889,,,,
mvp-academy,xp academy,0.842,painacademy,0.762,13287.0,xp-academy
team-illusion,Illuminar,0.706,,,,
ballern,Eyeballers,0.706,,,,
nl-gaming,TNL,0.8,,,12833.0,tnl
awesomniac,masonic,0.706,,,10867.0,masonic
memestars,Messitas,0.706,,,,
united,UNiTY,0.727,,,,
ymcsw,MCS,0.75,,,,
incognito,InControl,0.778,,,,
leonid-gaming,LEON,0.8,,,,
mercenaries,Mercenaires,0.909,,,,
parasyte,Preasy,0.714,preasy,0.714,12334.0,preasy
team-monkey-s,moneyF,0.769,,,,
magic-stars,MAGICOS,0.706,,,,
team-luminary,Illuminar,0.824,,,,
athletico-academy,HEROIC Academy,0.759,,,,
team-rain,regain,0.8,pain,0.75,,
emonkeyz,moneyF,0.714,,,,
team-ingame-academy,paiN Academy,0.75,enceacademy,0.75,,
2ez-academy,ENCE Academy,0.762,xpacademy,0.737,11790.0,ence-academy
again,regain,0.727,,,,
warriorz,Eco Warriors,0.737,,,,
justbusin,Just Swing,0.778,,,,
plan-b-gaming,O PLANO,0.727,,,,
game-men,GameAgents,0.706,,,,
fengda-gaming,FengDa,1.0,,,12899.0,fengda
alter-iron,GATERON,0.75,alterego,0.706,,
shinden,ShindeN,1.0,,,12959.0,shinden
take-flyte-kings,Take Flyte,0.783,,,,
wildcard-academy,Wildcard Academy,1.0,,,,
carbonx-academy,paiN Academy,0.72,,,,
roler-coaster,Roler Coaster,1.0,rolercoaster,1.0,,
team-cs2news,CS2News Ladies,0.7,,,,
mousquetaires,Mousquetaires,1.0,,,,
team-have-fun,HAVU,0.727,,,,
fut-esports,FUT,1.0,,,13286.0,FUT
ex-tsunami,Tsunami,0.875,,,,
immigrants-peek,Immigrants peek,1.0,,,,
eco-warriors,Eco Warriors,1.0,,,,
ex-permitta-esports,ex-Permitta,1.0,,,,
team-france,Zerance,0.769,,,13271.0,zerance
steel-helmet,Steel Helmet,1.0,,,,
marca-registrada,Marca Registrada,1.0,,,,
nuclear-tigeres,Nuclear TigeRES,1.0,,,,
havu-gaming,HAVU,1.0,,,,
big-academy,paiN Academy,0.762,mibracademy,0.762,,
8sins,8Sins,1.0,,,,
powermix,POWERmix,1.0,,,,
la-masia,LA MASIA,1.0,,,,
ghost-gaming,Ghost,1.0,,,,
selva,SELVA,1.0,,,12447.0,selva
let-her-cook,Let Her Cook,1.0,,,,
mcs-gaming,MCS,1.0,,,,
skyfury,SkyFury,1.0,,,,
master-one,GATERON,0.75,,,,
inputprayers,inputprayers,1.0,,,,
aka-hero,AKA HERO KAJO,0.778,,,,
wanted-goons,Wanted Goons,1.0,,,,
team-gateron,GATERON,1.0,,,,
aka-hero-kajo,AKA HERO KAJO,1.0,,,,
w7m-esports,ex-W7M,0.75,,,13288.0,ex-w7m
sangrija,Sangal,0.714,,,10333.0,sangal
change-the-game,Change The Game,1.0,,,,
leon-esports,LEON,1.0,leo,0.857,,
girl-kissers,girl kissers,1.0,,,,
only-one-word,Only One Word,1.0,,,,
uno-mille,UNO MILLE,1.0,,,,
mercenaires,Mercenaires,1.0,,,,
ninja,NinJa,1.0,,,,
portuguese-family,Portuguese Family,1.0,,,,
america-esports,América,0.923,,,,
tropa-do-kingui,Tropa do KinGui,1.0,,,,
virtual-cottage,Virtual Cottage,1.0,,,,
bounty-hunters-female,Bounty Hunters fe,0.882,bountyhunters,0.812,,
magicos,MAGICOS,1.0,,,,
tsunami-esports,Tsunami,1.0,,,,
mindfreak,Mindfreak,1.0,mindfreak,1.0,,
spray-and-slay,Spray and Slay,1.0,,,,
jersa-esports,JERSA,1.0,,,,
quazar,quazar,1.0,,,11312.0,quazar
ghoulsw,GhoulsW,1.0,,,,
regain,regain,1.0,,,,
ex-heimo-esports,ex-Heimo,1.0,,,,
keyd-stars,Keyd Stars,1.0,,,6033.0,keyd-stars
underground-esc,Underground,0.88,,,,
godsent,Gods Reign,0.75,,,,
ww-team,ww,1.0,,,12967.0,ww
just-swing,Just Swing,1.0,,,,
nomercy,nomercy fe,0.875,,,,
straight2killin,Straight2Killin,1.0,,,,
novaq,NOVAQ,1.0,,,,
astralis-talent,Astralis Talent,1.0,astralis,0.727,,
gods-reign,Gods Reign,1.0,,,,
akimbo-esports,Akimbo,1.0,akimbo,1.0,,
housebets,Housebets,1.0,,,,
quem-sao-elas,Quem Sao Elas,1.0,,,,
lachampionsliga,LaChampionsLiga,1.0,,,,
victores-sumus,Victores Sumus,1.0,victoressumus,1.0,,
thekillaz,thekillaz fe,0.9,,,,
modeame,modeame,1.0,,,,
gameagents,GameAgents,1.0,,,,
legion-gaming,LEON,0.8,gamerlegion,0.706,,
bad-news-capybaras,Bad News Capybaras,1.0,,,,
nitro-gg,NITRO,1.0,,,,
team-aether,Aether,1.0,aether,1.0,,
cs2news-ladies,CS2News Ladies,1.0,,,,
akuma,Akuma,1.0,,,,
qmistry,QMISTRY,1.0,,,,
20-70,2070,1.0,,,,
mega-juners,MEGA JUNERS,1.0,,,,
galorys,Galorys,1.0,,,,
oddik-academy,HEROIC Academy,0.72,,,,
fisher-college,Fisher College,1.0,,,,
illuminar-gaming,Illuminar,1.0,,,,
the,THE,1.0,,,,
dusty-roots,Dusty Roots,1.0,,,12548.0,dusty-roots
messitas,Messitas,1.0,,,,
heroic-academy,HEROIC Academy,1.0,enceacademy,0.75,,
lazer-cats,Lazer Cats,1.0,,,,
vantage-esports,Vantage,1.0,,,,
nyx-empyre,Nyx Empyre,1.0,,,,
unity-esports,UNiTY,1.0,,,,
underground-esports-club,Underground,0.846,,,,
take-flyte,Take Flyte,1.0,,,,
chicken-coop-esports,Chicken Coop,1.0,,,,
justice-for-tomorrow,Justice For Tomorrow,1.0,,,,
mantra,MANTRA,1.0,mana,0.8,,
might,MIGHT,1.0,,,,
harizma,harizma,1.0,,,,
jano-esports,JANO,1.0,,,,
mythic,Mythic,1.0,,,,
kzg,KZG,1.0,,,,
incontrol,InControl,1.0,,,,
fury,SkyFury,0.727,,,,
